"CASE_ID","TypeCounts","PlacementAsY","CloseTimes","Duration"
28892,0,FALSE,3,0
28994,4,TRUE,2,92
29003,4,FALSE,3,184
29057,3,FALSE,3,92
29128,2,FALSE,2,397
29164,4,FALSE,3,62
29206,3,FALSE,6,184
29350,3,FALSE,3,62
29521,1,FALSE,2,245
29540,5,TRUE,4,306
29578,4,FALSE,1,123
29589,3,FALSE,2,92
29594,4,FALSE,2,62
29646,3,FALSE,2,337
29666,5,FALSE,2,30
29668,6,FALSE,3,123
29671,3,FALSE,2,62
29679,2,FALSE,2,122
29710,7,FALSE,2,31
29734,6,TRUE,3,62
29901,2,TRUE,3,123
29913,4,FALSE,1,92
29935,2,FALSE,2,31
29968,7,TRUE,3,397
29980,2,FALSE,3,213
30096,2,FALSE,3,245
30100,6,TRUE,3,62
30102,4,TRUE,4,153
30151,4,TRUE,4,306
30163,5,FALSE,3,337
30171,4,FALSE,5,153
30249,3,TRUE,2,337
30290,0,FALSE,2,337
30342,5,FALSE,2,123
30346,1,TRUE,3,245
30368,4,FALSE,3,276
30383,2,FALSE,3,92
30442,2,TRUE,2,215
30444,5,TRUE,3,276
30452,6,TRUE,3,366
30495,6,TRUE,2,215
30516,4,TRUE,3,276
30572,3,FALSE,3,276
30643,3,FALSE,2,182
30645,4,TRUE,3,92
30648,5,TRUE,2,153
30670,2,TRUE,2,244
30701,6,FALSE,2,30
30737,5,FALSE,4,215
30743,5,FALSE,3,123
30747,6,FALSE,6,92
30772,2,FALSE,3,31
30779,6,TRUE,3,92
30788,2,TRUE,3,62
30869,2,FALSE,5,62
30901,4,FALSE,2,30
30902,3,FALSE,2,245
30905,2,FALSE,2,0
30943,5,FALSE,6,0
30990,4,FALSE,6,245
31041,7,FALSE,2,92
31052,0,FALSE,2,31
31053,2,FALSE,6,397
31119,6,TRUE,3,92
31188,2,FALSE,3,397
31197,4,TRUE,2,245
31209,4,TRUE,4,276
31219,3,FALSE,2,62
31258,4,FALSE,4,276
31285,3,FALSE,3,243
31314,4,TRUE,3,153
31316,3,FALSE,2,91
31339,2,TRUE,3,31
31341,4,FALSE,4,153
31368,7,FALSE,4,245
31520,4,TRUE,2,397
31523,5,FALSE,3,153
31524,4,TRUE,3,62
31540,6,TRUE,4,30
31600,4,FALSE,5,276
31610,6,TRUE,6,123
31652,3,FALSE,3,276
31659,3,FALSE,2,31
31661,3,TRUE,2,153
31683,5,FALSE,3,153
31707,3,FALSE,3,60
31712,4,FALSE,5,92
31718,5,FALSE,5,153
31734,4,FALSE,5,153
31772,5,TRUE,2,366
31779,4,FALSE,2,397
31782,3,TRUE,3,62
31795,0,FALSE,2,31
31796,7,FALSE,5,62
31812,3,FALSE,3,276
31826,5,TRUE,4,397
31835,6,FALSE,3,245
31837,5,FALSE,4,61
31853,3,TRUE,2,306
31856,3,FALSE,2,306
31869,1,FALSE,3,183
31884,3,TRUE,3,215
31942,3,FALSE,3,122
31962,3,TRUE,4,245
31978,2,FALSE,2,306
31991,5,FALSE,4,184
31999,6,FALSE,2,274
32007,8,FALSE,4,184
32048,3,FALSE,2,92
32055,3,FALSE,2,92
32078,2,FALSE,3,0
32086,5,TRUE,4,215
32091,4,TRUE,3,123
32095,6,TRUE,3,153
32124,3,FALSE,2,306
32169,3,FALSE,3,92
32209,0,FALSE,2,92
32274,4,FALSE,2,92
32301,1,TRUE,2,245
32324,4,FALSE,5,62
32334,5,FALSE,5,245
32397,4,TRUE,2,366
32418,5,FALSE,3,90
32428,4,FALSE,2,123
32478,3,TRUE,2,276
32542,5,TRUE,5,214
32604,3,FALSE,2,215
32613,3,TRUE,3,337
32615,2,TRUE,4,60
32659,4,FALSE,4,276
32668,0,FALSE,5,91
32680,3,FALSE,4,92
32716,4,TRUE,3,122
32731,3,FALSE,4,122
32754,2,FALSE,3,92
32790,3,FALSE,3,62
32801,1,TRUE,3,62
32809,6,FALSE,2,214
32839,2,FALSE,3,61
32902,5,TRUE,6,92
32945,1,FALSE,4,123
32961,3,FALSE,2,0
32980,1,FALSE,2,62
32993,0,TRUE,2,397
33098,3,FALSE,2,276
33101,3,TRUE,2,276
33102,2,TRUE,3,123
33135,2,TRUE,6,366
33138,5,FALSE,2,184
33139,4,TRUE,4,62
33170,3,FALSE,3,61
33197,0,FALSE,2,304
33255,2,FALSE,2,153
33268,6,TRUE,2,245
33274,2,TRUE,2,276
33289,3,FALSE,3,0
33301,4,FALSE,3,123
33339,3,TRUE,3,123
33342,8,TRUE,2,62
33349,2,FALSE,4,276
33366,4,TRUE,2,306
33405,5,FALSE,2,123
33410,1,TRUE,5,123
33413,6,FALSE,3,122
33453,4,FALSE,3,276
33472,3,FALSE,3,92
33514,3,FALSE,3,123
33598,4,FALSE,4,90
33624,3,FALSE,2,306
33648,6,FALSE,4,92
33651,1,FALSE,4,30
33671,0,TRUE,5,215
33673,5,TRUE,5,215
33692,4,TRUE,3,306
33693,0,FALSE,2,121
33700,5,FALSE,2,91
33724,0,FALSE,5,122
33771,2,TRUE,2,30
33809,1,FALSE,2,122
33820,4,FALSE,4,151
33824,5,TRUE,3,245
33841,3,FALSE,2,122
33876,2,FALSE,2,274
33902,3,TRUE,2,31
33904,3,FALSE,2,92
33941,4,TRUE,2,184
33950,3,FALSE,2,306
33958,1,FALSE,2,397
34021,1,FALSE,2,153
34082,4,TRUE,3,92
34126,6,FALSE,2,62
34145,5,FALSE,3,61
34154,4,FALSE,2,337
34155,4,TRUE,3,366
34193,5,FALSE,5,183
34279,6,FALSE,5,62
34312,1,FALSE,3,215
34319,2,TRUE,2,123
34341,5,TRUE,3,30
34622,3,FALSE,3,276
34771,4,FALSE,3,62
34779,3,TRUE,3,184
34815,4,FALSE,2,366
34842,3,FALSE,2,62
34851,6,FALSE,3,30
34866,6,FALSE,4,245
34868,2,FALSE,2,153
34871,1,TRUE,4,184
34889,1,FALSE,2,153
34896,4,FALSE,3,276
34902,3,TRUE,4,92
34933,4,FALSE,3,276
34938,0,FALSE,2,30
35045,2,FALSE,2,276
35070,4,FALSE,2,60
35095,4,FALSE,2,62
35137,1,TRUE,2,306
35211,4,FALSE,3,31
35279,5,FALSE,3,122
35292,4,FALSE,2,123
35343,6,FALSE,4,92
35460,3,FALSE,3,306
35475,6,FALSE,3,92
35485,3,FALSE,3,0
35486,3,TRUE,3,306
35495,5,FALSE,4,0
36008,3,TRUE,3,31
36714,1,FALSE,2,62
37967,6,TRUE,4,397
38507,2,FALSE,2,397
39033,1,FALSE,2,153
39138,2,FALSE,2,184
39146,3,FALSE,2,184
39179,2,FALSE,3,245
39962,4,FALSE,2,184
40541,0,TRUE,2,215
40747,4,FALSE,1,397
41622,5,TRUE,2,62
41785,2,FALSE,3,92
42009,5,FALSE,1,397
42049,4,FALSE,2,0
42175,4,TRUE,2,184
43069,6,FALSE,3,123
43283,0,FALSE,2,276
47057,2,FALSE,2,62
47089,3,FALSE,2,153
47106,1,FALSE,2,61
47149,1,TRUE,3,397
47157,2,TRUE,4,306
47220,2,FALSE,3,276
47253,3,FALSE,2,123
47271,0,FALSE,3,31
47289,3,FALSE,3,92
47530,4,TRUE,2,153
47536,1,TRUE,2,92
47572,4,FALSE,3,92
47573,2,FALSE,4,0
47590,4,TRUE,2,92
47592,4,FALSE,3,123
47653,2,FALSE,3,397
47655,2,TRUE,3,30
47678,4,TRUE,3,337
47740,1,TRUE,2,184
47767,7,TRUE,2,92
47775,2,TRUE,3,153
47804,3,FALSE,2,123
47829,2,FALSE,2,31
48227,6,TRUE,5,184
48241,5,FALSE,2,92
48256,0,FALSE,2,0
48289,4,TRUE,2,153
48296,4,TRUE,2,276
48337,1,FALSE,2,153
48361,3,FALSE,3,122
48366,1,FALSE,2,31
48398,2,FALSE,2,337
48433,6,FALSE,3,123
48475,3,TRUE,3,153
48488,4,FALSE,2,337
48526,4,FALSE,3,245
48532,2,TRUE,3,153
48539,1,FALSE,2,337
48555,2,FALSE,3,92
48565,2,FALSE,2,61
48613,4,FALSE,2,31
48665,2,FALSE,2,62
48717,2,FALSE,4,215
48721,4,FALSE,4,90
48753,7,FALSE,2,183
48756,5,TRUE,3,397
48776,1,FALSE,2,29
48782,2,FALSE,2,61
48805,5,FALSE,3,276
48810,0,FALSE,3,123
48817,3,FALSE,2,153
48820,2,FALSE,2,122
48828,4,FALSE,3,184
48851,2,FALSE,4,62
48879,1,FALSE,2,275
48947,5,FALSE,2,184
49016,3,FALSE,2,92
49055,1,FALSE,3,152
49081,2,FALSE,2,184
49086,2,TRUE,2,397
49188,3,TRUE,3,92
49410,5,TRUE,2,397
49447,4,FALSE,4,122
49456,3,FALSE,2,123
49551,3,FALSE,2,62
49562,1,FALSE,2,62
49568,5,TRUE,4,123
49584,5,FALSE,3,31
49634,2,FALSE,2,62
49662,3,FALSE,3,60
49678,6,FALSE,2,153
49680,3,FALSE,2,306
49689,2,FALSE,2,30
49740,3,FALSE,2,122
49870,2,FALSE,4,121
49946,3,TRUE,2,31
50096,3,FALSE,2,31
50199,4,FALSE,3,62
50263,3,FALSE,2,275
50545,2,FALSE,3,275
50644,5,TRUE,2,123
50647,3,FALSE,3,153
50662,1,FALSE,3,276
50805,5,FALSE,2,123
50813,3,FALSE,5,183
50815,5,TRUE,3,337
50867,3,TRUE,3,153
50874,3,TRUE,2,215
50942,0,FALSE,2,184
50985,4,FALSE,2,61
51053,5,TRUE,2,337
51085,4,FALSE,3,123
51098,5,TRUE,2,274
51129,4,TRUE,4,31
51132,5,TRUE,2,366
51178,2,FALSE,2,245
51184,4,TRUE,2,337
51196,5,TRUE,2,123
51306,3,TRUE,2,123
51334,5,FALSE,2,61
51337,1,FALSE,2,245
51343,5,TRUE,2,60
51388,0,FALSE,2,92
51404,1,FALSE,3,60
51416,3,FALSE,2,213
51473,5,TRUE,2,123
51485,1,FALSE,1,182
51645,4,FALSE,3,306
51650,2,TRUE,2,0
51689,2,FALSE,4,31
51692,0,TRUE,2,214
51693,0,TRUE,2,304
51696,0,FALSE,2,61
51908,1,FALSE,4,366
51910,6,FALSE,1,337
51922,2,FALSE,2,31
51950,6,TRUE,5,62
52005,1,FALSE,2,62
52058,4,FALSE,4,62
52085,4,FALSE,4,62
52145,5,TRUE,3,215
52184,4,FALSE,2,92
52204,4,TRUE,2,366
52223,3,FALSE,3,31
52239,3,TRUE,2,153
52276,3,FALSE,2,0
52283,0,FALSE,2,214
52302,1,FALSE,2,184
52338,2,FALSE,2,184
52343,4,FALSE,2,214
52359,5,TRUE,2,123
52372,4,FALSE,2,62
52375,5,FALSE,2,123
52396,2,FALSE,2,61
52405,1,FALSE,3,62
52485,1,FALSE,4,30
52546,2,FALSE,3,60
52552,2,TRUE,2,275
52761,4,FALSE,3,29
52926,3,FALSE,2,245
52937,5,FALSE,3,31
52947,1,FALSE,4,92
52964,3,TRUE,3,184
52971,2,TRUE,2,275
52976,3,TRUE,2,91
53000,3,FALSE,2,276
53005,3,FALSE,2,122
53054,0,TRUE,2,184
53115,3,FALSE,2,214
53194,3,FALSE,2,29
53200,3,TRUE,2,215
53205,6,TRUE,1,337
53215,1,FALSE,2,61
53264,3,FALSE,2,123
53266,3,TRUE,2,92
53282,5,FALSE,2,337
53305,3,TRUE,2,184
53410,0,FALSE,2,61
53426,2,TRUE,2,62
53432,5,TRUE,2,92
53446,3,FALSE,2,215
53534,2,FALSE,3,31
53561,4,TRUE,2,245
53573,2,FALSE,2,31
53575,3,FALSE,4,306
53603,5,FALSE,2,0
53659,3,TRUE,3,153
53673,3,TRUE,2,245
53679,3,FALSE,1,62
53688,4,FALSE,3,123
53742,0,FALSE,2,215
53793,5,FALSE,3,275
53838,2,FALSE,3,92
53929,2,FALSE,2,30
53948,2,FALSE,2,31
54075,6,FALSE,3,31
54083,3,FALSE,2,366
54120,3,FALSE,2,215
54125,2,FALSE,2,152
54158,6,FALSE,2,31
54179,3,FALSE,3,62
54207,1,FALSE,2,123
54231,3,FALSE,3,337
54237,2,FALSE,3,122
54256,6,FALSE,2,122
54269,6,FALSE,3,91
54285,4,TRUE,2,245
54390,6,FALSE,2,62
54394,3,FALSE,2,61
54427,4,TRUE,2,306
54505,3,FALSE,3,92
54538,2,FALSE,1,245
54586,2,TRUE,4,214
54600,1,FALSE,2,276
54642,2,FALSE,2,91
54680,3,FALSE,3,366
54686,1,TRUE,2,62
54748,1,FALSE,2,121
54758,3,FALSE,3,91
54781,2,TRUE,1,92
54788,3,TRUE,2,61
54814,4,TRUE,2,62
54856,6,FALSE,1,153
54859,2,FALSE,2,184
54874,5,TRUE,3,215
54935,2,FALSE,3,215
54949,3,FALSE,2,31
54950,3,FALSE,2,215
54954,1,FALSE,3,31
54968,2,TRUE,3,153
55040,5,FALSE,4,213
55059,2,FALSE,2,62
55101,3,FALSE,2,31
55112,8,TRUE,2,92
55133,5,TRUE,2,62
55136,5,FALSE,2,61
55175,4,FALSE,3,62
55198,4,TRUE,3,60
55219,3,TRUE,3,276
55236,3,FALSE,2,92
55245,0,FALSE,3,123
55273,0,TRUE,2,123
55335,5,FALSE,3,276
55383,2,FALSE,2,92
55392,2,FALSE,3,92
55504,3,FALSE,2,121
55525,0,FALSE,2,153
55600,6,FALSE,3,337
55615,3,TRUE,2,122
55623,4,FALSE,2,337
55700,4,FALSE,3,61
55719,4,TRUE,4,184
55823,0,FALSE,2,184
55839,0,FALSE,3,153
55841,1,TRUE,2,31
55869,2,FALSE,2,123
55881,3,FALSE,2,245
55993,5,TRUE,2,91
56007,2,FALSE,2,397
56008,6,TRUE,3,306
56103,3,FALSE,3,62
56115,1,TRUE,2,31
56122,0,FALSE,3,123
56127,3,FALSE,2,153
56141,2,FALSE,2,92
56156,4,FALSE,2,62
56183,1,FALSE,2,337
56191,2,FALSE,3,366
56197,3,FALSE,2,62
56237,1,TRUE,2,397
56265,1,FALSE,1,275
56306,3,FALSE,2,123
56314,2,FALSE,2,61
56318,1,TRUE,2,397
56319,0,FALSE,2,366
56370,0,FALSE,2,153
56397,5,FALSE,3,92
56405,2,TRUE,2,92
56490,0,FALSE,2,153
56499,1,FALSE,2,91
56504,2,FALSE,2,215
56525,2,FALSE,3,184
56531,2,FALSE,3,62
56538,0,TRUE,2,92
56549,2,FALSE,2,92
56561,1,FALSE,2,61
56588,5,FALSE,2,62
56638,2,TRUE,2,397
56660,4,FALSE,2,61
56685,1,FALSE,2,366
56693,2,FALSE,3,123
56725,3,FALSE,2,275
56744,1,FALSE,2,153
56768,5,TRUE,2,92
56799,4,FALSE,2,62
56804,3,TRUE,3,184
56813,4,TRUE,2,306
56840,4,FALSE,3,215
56847,1,FALSE,2,92
56860,3,TRUE,3,123
56865,1,FALSE,2,153
56912,1,TRUE,2,29
56925,0,FALSE,2,0
57046,3,FALSE,2,245
57088,0,TRUE,2,305
57145,2,FALSE,2,31
57158,4,FALSE,2,31
57164,3,TRUE,2,153
57171,3,TRUE,2,30
57217,2,FALSE,2,184
57274,2,FALSE,2,91
57303,4,FALSE,3,153
57410,1,FALSE,2,153
57436,0,FALSE,2,60
57444,1,TRUE,3,31
57490,1,FALSE,2,275
57492,3,TRUE,2,276
57509,3,FALSE,3,276
57525,1,TRUE,2,92
57556,3,FALSE,3,92
57623,1,FALSE,3,0
57630,7,TRUE,4,184
57663,3,FALSE,3,123
57683,2,TRUE,3,184
57697,3,TRUE,1,92
57698,6,TRUE,2,153
57728,1,FALSE,2,92
57732,3,FALSE,3,335
57744,1,TRUE,2,397
57759,0,FALSE,2,62
57816,1,FALSE,2,306
57840,2,TRUE,3,153
57870,4,TRUE,1,123
57887,1,FALSE,2,92
57972,3,FALSE,2,245
58022,3,TRUE,2,215
58040,6,TRUE,2,31
58080,3,FALSE,3,153
58092,3,FALSE,2,62
58181,2,FALSE,2,92
58232,6,FALSE,2,184
58245,3,FALSE,3,61
58280,5,FALSE,3,92
58291,5,FALSE,3,123
58302,0,FALSE,2,214
58339,3,FALSE,2,337
58347,4,FALSE,1,92
58379,4,FALSE,4,276
58381,1,TRUE,2,214
58383,1,FALSE,2,122
58406,2,FALSE,2,92
58427,2,FALSE,2,153
58428,1,TRUE,3,215
58431,3,FALSE,1,61
58447,5,FALSE,2,61
58451,3,FALSE,2,61
58463,3,FALSE,2,61
58492,4,FALSE,2,123
58552,6,TRUE,2,245
58561,1,TRUE,2,62
58583,3,TRUE,3,215
58618,4,TRUE,2,337
58638,2,FALSE,3,184
58643,3,FALSE,2,184
58668,4,FALSE,2,31
58697,3,TRUE,1,337
58702,1,FALSE,2,183
58704,1,FALSE,2,0
58712,1,TRUE,3,123
58723,6,FALSE,1,184
58734,2,FALSE,2,31
58735,3,FALSE,3,90
58761,0,FALSE,3,184
58784,2,FALSE,2,275
58787,6,FALSE,1,337
58802,4,FALSE,3,184
58824,4,FALSE,3,306
58844,1,FALSE,2,123
58857,3,TRUE,2,276
58973,3,TRUE,2,306
58994,5,FALSE,2,31
58998,2,TRUE,2,245
58999,1,FALSE,2,121
59012,3,FALSE,2,397
59034,1,FALSE,2,92
59036,2,TRUE,2,61
59054,2,TRUE,2,123
59086,2,FALSE,2,91
59093,4,TRUE,2,62
59110,0,FALSE,2,123
59156,3,TRUE,2,61
59162,7,FALSE,2,153
59180,1,FALSE,2,60
59226,1,TRUE,2,215
59233,4,FALSE,2,60
59263,3,FALSE,3,60
59282,0,FALSE,1,62
59384,4,FALSE,2,123
59398,2,FALSE,2,153
59433,3,FALSE,2,306
59457,4,FALSE,3,276
59458,2,TRUE,2,92
59465,3,FALSE,2,92
59476,3,FALSE,2,152
59486,4,TRUE,2,215
59512,1,FALSE,2,62
59576,0,FALSE,2,121
59592,6,FALSE,2,62
59605,2,FALSE,2,62
59632,2,FALSE,2,184
59661,0,FALSE,2,183
59663,0,FALSE,2,62
59677,0,FALSE,2,92
59679,6,FALSE,2,184
59693,4,TRUE,1,366
59697,5,FALSE,2,276
59717,2,TRUE,1,337
59722,2,TRUE,2,92
59765,2,FALSE,2,0
59783,0,TRUE,1,92
59798,2,TRUE,2,123
59815,5,TRUE,2,276
59841,4,FALSE,2,62
59855,2,FALSE,2,153
59883,3,FALSE,2,337
59888,5,FALSE,2,62
59899,1,FALSE,2,61
59906,5,TRUE,2,214
60003,0,FALSE,2,153
60033,1,FALSE,2,184
60035,6,FALSE,2,123
60064,5,FALSE,2,184
60071,1,TRUE,2,366
60083,1,FALSE,2,61
60090,4,FALSE,2,122
60103,0,FALSE,1,122
60111,2,TRUE,2,123
60132,2,FALSE,2,62
60133,0,FALSE,2,0
60166,5,FALSE,2,123
60173,0,TRUE,2,123
60180,2,FALSE,2,123
60205,2,TRUE,2,306
60250,2,FALSE,2,62
60298,6,FALSE,2,61
60334,4,FALSE,2,153
60372,4,FALSE,2,92
60374,6,TRUE,2,306
60380,1,TRUE,2,123
60383,2,FALSE,2,245
60400,0,FALSE,2,31
60410,3,FALSE,2,92
60414,2,FALSE,2,92
60416,0,FALSE,2,62
60441,0,FALSE,2,62
60456,5,TRUE,2,62
60497,4,TRUE,2,276
60516,5,FALSE,2,397
60533,2,TRUE,2,184
60543,2,FALSE,2,92
60549,3,TRUE,2,123
60604,2,FALSE,2,62
60612,4,TRUE,2,92
60633,1,FALSE,2,184
60639,7,FALSE,2,184
60643,1,FALSE,2,337
60671,1,FALSE,2,31
60680,4,FALSE,2,153
60694,0,FALSE,1,397
60697,0,FALSE,1,0
60699,0,FALSE,1,31
60700,6,FALSE,2,123
60701,2,FALSE,1,60
60706,4,FALSE,2,62
60707,0,FALSE,1,397
60710,1,FALSE,1,397
60713,0,FALSE,1,397
60715,3,FALSE,1,0
60718,4,TRUE,1,121
60719,0,FALSE,1,0
60720,1,TRUE,1,121
60723,0,FALSE,1,121
60729,3,FALSE,1,121
60730,0,FALSE,1,397
60731,4,TRUE,1,305
60735,2,FALSE,1,0
60736,2,FALSE,1,213
60738,0,FALSE,1,244
60740,1,FALSE,1,213
60741,4,FALSE,1,182
60743,1,TRUE,1,397
60744,1,TRUE,1,91
60745,1,TRUE,1,397
60747,1,FALSE,1,31
60750,3,FALSE,1,60
60752,2,FALSE,1,182
60753,1,FALSE,1,31
60755,1,FALSE,1,91
60756,0,FALSE,1,60
60760,1,FALSE,1,31
60762,0,FALSE,1,305
60764,1,FALSE,1,397
60766,4,TRUE,1,121
60767,0,FALSE,1,182
60770,0,FALSE,1,31
60771,0,TRUE,1,60
60772,1,TRUE,1,397
60774,0,FALSE,1,121
60777,1,FALSE,1,335
60781,1,FALSE,1,305
60782,0,FALSE,1,274
60787,1,FALSE,1,152
60788,1,TRUE,1,152
60789,4,FALSE,1,397
60793,4,FALSE,1,366
60794,4,TRUE,1,366
60799,1,FALSE,1,213
60806,0,FALSE,1,213
60807,1,FALSE,1,121
60811,0,FALSE,1,243
60814,0,FALSE,1,91
60817,3,FALSE,2,184
60818,2,FALSE,1,121
60820,0,FALSE,1,397
60821,2,FALSE,1,31
60822,0,TRUE,1,366
60823,4,TRUE,1,366
60825,0,FALSE,1,366
60829,2,FALSE,1,31
60836,1,FALSE,1,121
60838,1,FALSE,2,0
60839,0,FALSE,1,151
60841,1,FALSE,1,29
60842,2,TRUE,1,274
60843,3,FALSE,1,60
60847,1,FALSE,1,304
60850,1,FALSE,1,274
60852,3,FALSE,1,397
60853,0,FALSE,1,0
60854,0,FALSE,1,91
60856,0,FALSE,1,397
60857,3,FALSE,1,244
60859,0,FALSE,1,182
60862,0,FALSE,1,366
60863,4,FALSE,1,366
60864,2,FALSE,2,61
60869,1,FALSE,1,0
